ei_vel,ei_range,ei_xrange
7817.8152,7489.488,961.188
7820.5584,8296.96,1381.592
7820.8632,7674.688,511.152
7821.168,8274.736,1335.292
7822.9968,8248.808,412.996
7828.4832,8002.492,1137.128
7832.1408,8054.348,127.788
7832.7504,8143.244,924.148
7835.7984,8132.132,214.832
7836.7128,7485.784,1366.776
7837.3224,8033.976,472.26
7837.6272,8563.648,448.184
7839.456,8113.612,333.36
7841.2848,8285.848,116.676
7841.5896,8209.916,203.72
7842.1992,7678.392,5.556
7842.8088,8109.908,583.38
7846.7712,8369.188,427.812
7848.2952,8271.032,168.532
7849.2096,7661.724,970.448
7850.124,8108.056,266.688
7850.124,8319.184,640.792
7850.4288,7511.712,700.056
7851.0384,7500.6,1074.16
7851.0384,8189.544,455.592
7851.648,8193.248,122.232
7852.2576,7680.244,911.184
7852.2576,8022.864,153.716
7852.5624,8108.056,581.528
7853.172,8337.704,1140.832
7855.3056,8035.828,390.772
7856.5248,7615.424,877.848
7857.4392,7961.748,1185.28
7857.744,7802.476,592.64
7858.9632,7696.912,918.592
7859.268,8071.016,992.672
7859.268,7835.812,1257.508
7859.5728,8050.644,720.428
7859.8776,7709.876,711.168
7860.1824,7680.244,648.2
7860.4872,7898.78,796.36
7860.792,7624.684,709.316
7861.0968,8152.504,103.712
7861.7064,8141.392,151.864
7862.0112,7985.824,333.36
7862.0112,7871,164.828
7862.9256,8102.5,11.112
7863.2304,8124.724,1379.74
7863.5352,8037.68,407.44
7863.84,7056.12,1076.012
7864.7544,8022.864,344.472
7864.7544,8039.532,1238.988
7867.8024,7846.924,1464.932
7868.1072,7817.292,1116.756
7868.412,7693.208,1224.172
7868.7168,8102.5,433.368
7870.8504,7995.084,688.944
7872.6792,7415.408,1281.584
7872.6792,8061.756,127.788
7875.1176,7895.076,1505.676
7876.032,8048.792,1133.424
7876.3368,7708.024,761.172
7878.7752,8106.204,411.144
7879.08,7500.6,1285.288
7879.08,8215.472,362.992
7879.6896,7808.032,496.336
7880.604,7674.688,703.76
7880.604,8026.568,1244.544
7881.2136,7896.928,507.448
7881.5184,7900.632,788.952
7881.5184,8054.348,696.352
7881.5184,8178.432,85.192
7881.8232,8152.504,348.176
7882.128,8043.236,1290.844
7882.128,8154.356,755.616
7882.128,8183.988,261.132
7882.7376,8322.888,477.816
7882.7376,8296.96,38.892
7883.0424,8148.8,312.988
7883.0424,8146.948,694.5
7883.9568,8141.392,500.04
7883.9568,8087.684,624.124
7884.2616,8108.056,416.7
7884.2616,8130.28,637.088
7884.5664,7769.14,701.908
7884.5664,7826.552,1429.744
7884.5664,8124.724,46.3
7885.176,7669.132,900.072
7887.3096,8048.792,133.344
7887.3096,8033.976,37.04
7887.3096,8026.568,1131.572
7888.8336,7591.348,987.116
7890.6624,8178.432,48.152
7891.5768,8200.656,62.968
7891.8816,7919.152,1439.004
7891.8816,8130.28,375.956
7892.1864,8022.864,374.104
7892.1864,8056.2,705.612
7893.7104,7858.036,1413.076
7893.7104,8111.76,696.352
7893.7104,8043.236,248.168
7894.0152,8182.136,642.644
7894.0152,8239.548,177.792
7894.0152,8132.132,690.796
7894.32,8039.532,1111.2
7894.6248,8059.904,370.4
7894.9296,8074.72,1116.756
7894.9296,8161.764,714.872
7895.844,8158.06,724.132
7896.1488,8143.244,62.968
7896.4536,8058.052,3.704
7897.0632,7937.672,1468.636
7898.2824,8002.492,1194.54
7898.892,8071.016,1318.624
7899.5016,8063.608,135.196
7899.5016,8041.384,38.892
7900.1112,8124.724,976.004
7910.7792,7526.528,959.336
7911.3888,7815.44,963.04
7924.1904,7574.68,705.612
7924.1904,7533.936,418.552
7924.1904,7796.92,1087.124
7931.8104,7382.072,800.064
7938.8208,7902.484,751.912
7944.0024,7945.08,318.544
7948.2696,7767.288,1277.88
7949.7936,7915.448,496.336
7954.0608,7815.44,5.556
7959.5472,7846.924,287.06
7961.376,7632.092,777.84
7961.376,7848.776,896.368
